date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:02:35	25695/25695	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Apr%202022%2017:31:36%20GMT	https://reactheme.com/products/html/echooling/contact.html	C:/My%20Web%20Sites/Aryatech/reactheme.com/products/html/echooling/contact.html	(from https://reactheme.com/products/html/echooling/index.html)
19:02:36	152596/152596	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Jan%202022%2007:40:28%20GMT	https://reactheme.com/products/html/echooling/assets/images/slider/1.jpg	C:/My%20Web%20Sites/Aryatech/reactheme.com/products/html/echooling/assets/images/slider/1.jpg	(from https://reactheme.com/products/html/echooling/index.html)
19:02:37	75458/75458	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Jan%202022%2007:40:28%20GMT	https://reactheme.com/products/html/echooling/assets/images/slider/11.jpg	C:/My%20Web%20Sites/Aryatech/reactheme.com/products/html/echooling/assets/images/slider/11.jpg	(from https://reactheme.com/products/html/echooling/index.html)
19:02:38	1701/1701	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jan%202022%2007:40:28%20GMT	https://reactheme.com/products/html/echooling/assets/images/line.png	C:/My%20Web%20Sites/Aryatech/reactheme.com/products/html/echooling/assets/images/line.png	(from https://reactheme.com/products/html/echooling/index.html)
19:02:39	77255/77255	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Jan%202022%2007:40:28%20GMT	https://reactheme.com/products/html/echooling/assets/images/slider/12.jpg	C:/My%20Web%20Sites/Aryatech/reactheme.com/products/html/echooling/assets/images/slider/12.jpg	(from https://reactheme.com/products/html/echooling/index.html)
19:02:39	151642/151642	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jan%202022%2007:40:28%20GMT	https://reactheme.com/products/html/echooling/assets/images/service/1.png	C:/My%20Web%20Sites/Aryatech/reactheme.com/products/html/echooling/assets/images/service/1.png	(from https://reactheme.com/products/html/echooling/index.html)
19:02:39	856194/856194	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Jan%202022%2007:40:28%20GMT	https://reactheme.com/products/html/echooling/assets/images/slider/2.jpg	C:/My%20Web%20Sites/Aryatech/reactheme.com/products/html/echooling/assets/images/slider/2.jpg	(from https://reactheme.com/products/html/echooling/index.html)
19:02:41	157738/157738	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jan%202022%2007:40:28%20GMT	https://reactheme.com/products/html/echooling/assets/images/service/2.png	C:/My%20Web%20Sites/Aryatech/reactheme.com/products/html/echooling/assets/images/service/2.png	(from https://reactheme.com/products/html/echooling/index.html)
19:02:41	177879/177879	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jan%202022%2007:40:28%20GMT	https://reactheme.com/products/html/echooling/assets/images/service/3.png	C:/My%20Web%20Sites/Aryatech/reactheme.com/products/html/echooling/assets/images/service/3.png	(from https://reactheme.com/products/html/echooling/index.html)
19:02:41	146102/146102	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jan%202022%2007:40:28%20GMT	https://reactheme.com/products/html/echooling/assets/images/service/4.png	C:/My%20Web%20Sites/Aryatech/reactheme.com/products/html/echooling/assets/images/service/4.png	(from https://reactheme.com/products/html/echooling/index.html)
